приложения недоступен	application unavailable	Anwendung nicht verfügbar	aplicación no disponible
Повторить эту рассылку? Получатели будут рассчитаны заново по тем же настройкам.	Repeat this broadcast? Recipients will be selected again using the same settings.	Diesen Versand wiederholen? Empfänger werden anhand derselben Einstellungen neu ermittelt.	¿Repetir esta difusión? Los destinatarios se volverán a calcular con los mismos ajustes.
Не удалось продолжить игру	Could not continue game	Spiel konnte nicht fortgesetzt werden	No se pudo continuar la partida
Попробуйте открыть её ещё раз. Информация об ошибке уже сохранена для проверки.	Try opening it again. Error details have been saved for review.	Versuche es erneut zu öffnen. Fehlerdetails wurden zur Prüfung gespeichert.	Intenta abrirlo de nuevo. Los detalles del error se han guardado para su revisión.
Попробовать снова	Try again	Erneut versuchen	Intentar de nuevo
Проверьте соединение и попробуйте ещё раз. Если ошибка повторится, она уже будет видна администратору.	Check your connection and try again. Repeated errors will be visible to the administrator.	Prüfe die Verbindung und versuche es erneut. Wiederholte Fehler sind für den Administrator sichtbar.	Revisa la conexión e inténtalo de nuevo. El administrador podrá ver los errores repetidos.
Приложение	Application	Anwendung	Aplicación
Без описания	No description	Keine Beschreibung	Sin descripción
Последние ошибки	Recent errors	Letzte Fehler	Errores recientes
последних	latest	letzte	últimos
Не удалось связаться с сервером	Could not reach server	Server nicht erreichbar	No se pudo conectar con el servidor
Эти стили вставляет скрипт, поэтому генератор тёмной темы их не видит	These styles are inserted by a script, so the dark theme generator cannot see them	Diese Stile werden per Skript eingefügt und vom Dunkeldesign-Generator nicht erkannt	Estos estilos se insertan por script y el generador del tema oscuro no los detecta
он читает только файлы стилей. Без своего блока окно оставалось белым	it only reads stylesheet files. Without its own block the window remained white	er liest nur Stildateien. Ohne eigenen Block blieb das Fenster weiß	solo lee archivos de estilos. Sin su propio bloque la ventana quedaba blanca
листом посреди тёмного приложения.	in the dark application.	in der dunklen Anwendung.	en la aplicación oscura.
Два вопроса, один раз	Two questions, just once	Zwei Fragen, nur einmal	Dos preguntas, una sola vez
Что вы думаете о приложении?	What do you think of the app?	Was hältst du von der App?	¿Qué te parece la aplicación?
Вы играете уже несколько дней — расскажите своими словами. Это читает разработчик, и по таким ответам приложение и меняется.	You have been playing for a few days. Share your thoughts. The developer reads your feedback to improve the app.	Du spielst schon ein paar Tage. Erzähl uns deine Meinung. Der Entwickler liest dein Feedback und verbessert damit die App.	Llevas unos días jugando. Cuéntanos tu opinión. El desarrollador lee tus comentarios para mejorar la aplicación.
Ваше мнение о приложении	Your thoughts about the app	Deine Meinung zur App	Tu opinión sobre la aplicación
Что нравится, что раздражает, чем пользуетесь чаще всего…	What you like, what bothers you, what you use most…	Was dir gefällt, was dich stört, was du am meisten nutzt…	Qué te gusta, qué te molesta, qué usas más…
Что бы вы добавили или изменили	What would you add or change?	Was würdest du ergänzen oder ändern?	¿Qué añadirías o cambiarías?
Новая игра, другое правило, кнопка не на месте…	A new game, a different rule, a misplaced button…	Ein neues Spiel, eine andere Regel, eine falsch platzierte Schaltfläche…	Un juego nuevo, otra regla, un botón mal ubicado…
Ответ придёт разработчику приложения	Your reply goes to the developer	Deine Antwort geht an den Entwickler	Tu respuesta llegará al desarrollador
Позже	Later	Später	Más tarde
Напишите хотя бы пару слов в любом поле	Write a few words in either field	Schreibe ein paar Worte in eines der Felder	Escribe unas palabras en cualquier campo
Отправляем…	Sending…	Wird gesendet…	Enviando…
Не удалось отправить ответ	Could not send reply	Antwort konnte nicht gesendet werden	No se pudo enviar la respuesta
Игрок	Player	Spieler	Jugador
Сервис друзей не настроен	Friends service is not configured	Freundesdienst nicht eingerichtet	Servicio de amigos sin configurar
Приглашения доступны только внутри	Invitations are only available in	Einladungen sind nur verfügbar in	Las invitaciones solo están disponibles en
Друзья	Friends	Freunde	Amigos
Пригласить друзей в	Invite friends to	Freunde einladen zu	Invitar amigos a
Совместная игра	Play together	Gemeinsam spielen	Jugar juntos
Пригласить друзей	Invite friends	Freunde einladen	Invitar amigos
Комната	Room	Raum	Sala
Поделиться ссылкой	Share link	Link teilen	Compartir enlace
Загружаем друзей…	Loading friends…	Freunde werden geladen…	Cargando amigos…
Сначала добавьте друзей	Add friends first	Füge zuerst Freunde hinzu	Primero añade amigos
Откройте профиль, найдите игрока по	Open your profile and find a player by	Öffne dein Profil und suche einen Spieler anhand von	Abre tu perfil y busca un jugador por
после этого он появится здесь.	they will then appear here.	danach erscheint er hier.	después aparecerá aquí.
Открыть список друзей	Open friends list	Freundesliste öffnen	Abrir lista de amigos
Кого позвать?	Who would you like to invite?	Wen möchtest du einladen?	¿A quién quieres invitar?
Приглашение придёт личным сообщением от бота и сразу откроет комнату.	The bot will send a private invitation that opens the room directly.	Der Bot sendet eine private Einladung, die direkt den Raum öffnet.	El bot enviará una invitación privada que abre la sala directamente.
